115,Athletics Men's 400 metres Hurdles,Athletics
116,Athletics Men's 400 metres,Athletics
117,Athletics Men's Hammer Throw,Athletics
118,Weightlifting Men's Featherweight,Weightlifting
119,Athletics Men's 800 metres,Athletics
120,Hockey Men's Hockey,Hockey
121,Alpine Skiing Women's Slalom,Alpine Skiing
122,Rowing Women's Single Sculls,Rowing
123,Swimming Men's 50 metres Freestyle,Swimming
124,Weightlifting Women's Featherweight,Weightlifting
125,Water Polo Women's Water Polo,Water Polo
126,Figure Skating Men's Singles,Figure Skating
127,Weightlifting Men's Heavyweight,Weightlifting
128,"Equestrianism Mixed Three-Day Event, Individual",Equestrianism
129,"Equestrianism Mixed Three-Day Event, Team",Equestrianism
130,Figure Skating Mixed Team,Figure Skating
131,Sailing Women's Three Person Keelboat,Sailing
132,"Cycling Women's Road Race, Individual",Cycling
133,Golf Women's Individual,Golf
134,Softball Women's Softball,Softball
135,Archery Women's Individual,Archery
136,"Wrestling Men's Heavyweight, Greco-Roman",Wrestling
137,Volleyball Men's Volleyball,Volleyball
138,Taekwondo Women's Heavyweight,Taekwondo
139,Synchronized Swimming Women's Duet,Synchronized Swimming
140,Synchronized Swimming Women's Team,Synchronized Swimming
141,Taekwondo Women's Featherweight,Taekwondo
142,Athletics Men's Marathon,Athletics
143,Athletics Men's 4 x 400 metres Relay,Athletics
144,"Athletics Men's 10,000 metres",Athletics
145,"Athletics Women's 3,000 metres",Athletics
146,Diving Women's Platform,Diving
147,"Shooting Men's Air Rifle, 10 metres",Shooting
148,Athletics Men's 200 metres,Athletics
149,Weightlifting Men's Flyweight,Weightlifting
150,Swimming Men's 100 metres Backstroke,Swimming
151,Weightlifting Men's Light-Heavyweight,Weightlifting
152,"Wrestling Men's Lightweight, Greco-Roman",Wrestling
153,"Fencing Men's Sabre, Individual",Fencing
154,"Wrestling Men's Super-Heavyweight, Greco-Roman",Wrestling
155,"Shooting Men's Free Pistol, 50 metres",Shooting
156,"Shooting Men's Air Pistol, 10 metres",Shooting
157,Rowing Men's Coxless Fours,Rowing
158,Boxing Men's Light-Flyweight,Boxing
159,Boxing Men's Super-Heavyweight,Boxing
160,"Wrestling Men's Flyweight, Greco-Roman",Wrestling
161,"Shooting Women's Air Rifle, 10 metres",Shooting
162,Weightlifting Men's Middle-Heavyweight,Weightlifting
163,Athletics Men's Javelin Throw,Athletics
164,Volleyball Women's Volleyball,Volleyball
165,"Wrestling Men's Welterweight, Greco-Roman",Wrestling
166,"Wrestling Men's Middleweight, Greco-Roman",Wrestling
167,"Athletics Men's 3,000 metres Steeplechase",Athletics
168,"Wrestling Men's Middleweight, Freestyle",Wrestling
169,Swimming Women's 100 metres Backstroke,Swimming
170,Swimming Women's 200 metres Backstroke,Swimming
171,Swimming Women's 4 x 100 metres Medley Relay,Swimming
172,"Wrestling Men's Light-Heavyweight, Freestyle",Wrestling
173,Modern Pentathlon Men's Team,Modern Pentathlon
174,Boxing Men's Bantamweight,Boxing
175,Athletics Women's 200 metres,Athletics
176,Table Tennis Women's Singles,Table Tennis
177,Table Tennis Women's Doubles,Table Tennis
178,Shooting Men's Skeet,Shooting
179,Swimming Women's 50 metres Freestyle,Swimming
180,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Shooting
181,Athletics Men's Triple Jump,Athletics
182,Weightlifting Women's Lightweight,Weightlifting
183,Athletics Women's Long Jump,Athletics
184,"Fencing Women's epee, Individual",Fencing
185,Swimming Men's 200 metres Freestyle,Swimming
186,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming
187,Swimming Men's 200 metres Backstroke,Swimming
188,Swimming Men's 200 metres Individual Medley,Swimming
189,Swimming Men's 400 metres Individual Medley,Swimming
190,Badminton Women's Singles,Badminton
191,Boxing Men's Light-Middleweight,Boxing
192,Tennis Men's Singles,Tennis
193,"Wrestling Men's Bantamweight, Freestyle",Wrestling
194,"Wrestling Men's Flyweight, Freestyle",Wrestling
195,"Athletics Women's 5,000 metres",Athletics
196,Weightlifting Women's Light-Heavyweight,Weightlifting
197,Weightlifting Women's Heavyweight,Weightlifting
198,Athletics Men's Discus Throw,Athletics
199,Taekwondo Men's Featherweight,Taekwondo
200,Taekwondo Men's Welterweight,Taekwondo
201,Judo Men's Heavyweight,Judo
202,Cycling Men's Sprint,Cycling
203,Bobsleigh Men's Two,Bobsleigh
204,"Wrestling Men's Lightweight, Freestyle",Wrestling
205,Nordic Combined Men's Team,Nordic Combined
206,Nordic Combined Men's Individual,Nordic Combined
207,Baseball Men's Baseball,Baseball
208,Rowing Men's Coxed Fours,Rowing
209,Cycling Men's 100 kilometres Team Time Trial,Cycling
210,Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics
211,"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions
212,"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions
213,Gymnastics Women's Individual All-Around,Gymnastics
214,Gymnastics Women's Team All-Around,Gymnastics
215,Gymnastics Women's Floor Exercise,Gymnastics
216,Gymnastics Women's Horse Vault,Gymnastics
217,Gymnastics Women's Uneven Bars,Gymnastics
218,Gymnastics Women's Balance Beam,Gymnastics
219,Diving Women's Springboard,Diving
220,Diving Women's Synchronized Springboard,Diving
221,"Athletics Women's 10,000 metres",Athletics
222,Sailing Mixed 7 metres,Sailing
223,Judo Women's Half-Middleweight,Judo
224,Athletics Men's Decathlon,Athletics
225,Biathlon Men's 10 kilometres Sprint,Biathlon
226,Biathlon Men's 20 kilometres,Biathlon
227,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
228,Freestyle Skiing Men's Moguls,Freestyle Skiing
229,"Wrestling Men's Middleweight A, Greco-Roman",Wrestling
230,Athletics Women's Discus Throw,Athletics
231,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming
232,"Athletics Women's 1,500 metres",Athletics
233,"Shooting Women's Air Pistol, 10 metres",Shooting
234,"Shooting Women's Sporting Pistol, 25 metres",Shooting
235,"Canoeing Men's Kayak Doubles, 500 metres",Canoeing
236,"Canoeing Men's Kayak Singles, 500 metres",Canoeing
