1,1,42,52
2,2,42,52
3,3,56,52
4,4,56,52
5,5,146,52
6,5,146,52
7,5,146,52
8,6,217,52
9,6,217,52
10,7,217,52
11,7,217,52
12,8,146,52
13,9,69,52
14,10,69,52
15,11,69,52
16,12,69,52
17,13,69,52
18,13,69,52
19,14,69,52
20,15,69,52
21,15,69,52
22,15,69,52
23,16,69,52
24,17,69,52
25,17,69,52
26,18,69,52
27,19,69,52
28,20,151,52
29,20,151,52
30,20,151,52
31,20,151,52
32,20,151,52
33,21,151,52
34,22,170,52
35,23,151,52
36,23,151,52
37,24,151,52
38,24,151,52
39,25,151,52
40,26,151,52
41,27,146,52
42,28,151,52
43,28,151,52
44,29,146,52
45,30,146,52
46,30,146,52
47,31,65,52
48,32,151,52
49,33,69,52
50,33,69,52
51,34,70,52
52,35,151,52
53,36,146,52
54,36,146,52
55,37,151,52
56,38,151,52
57,39,151,52
58,40,151,52
59,40,151,52
60,40,151,52
61,41,151,52
62,42,151,52
63,43,151,52
64,44,65,52
65,44,65,52
66,45,151,52
67,46,151,52
68,46,151,52
69,46,151,52
70,46,151,52
71,46,151,52
72,47,151,52
73,47,151,52
74,47,151,52
75,48,126,52
76,49,65,52
77,49,65,52
78,50,65,52
79,50,65,52
80,51,64,52
81,52,70,52
82,53,61,52
83,54,95,52
84,55,64,52
85,56,70,52
86,57,33,52
87,58,33,52
88,59,33,52
89,59,33,52
90,60,33,52
91,61,33,52
92,62,101,52
93,63,64,52
94,64,40,52
95,65,15,52
96,66,190,52
97,67,172,52
98,67,172,52
99,68,9,52
100,69,64,52
101,70,53,52
102,71,53,52
103,72,26,52
104,72,26,52
105,73,70,52
106,73,70,52
107,73,70,52
108,74,9,52
109,75,82,52
110,76,44,52
111,77,44,52
112,78,208,52
113,79,41,52
114,80,64,52
115,81,82,52
116,82,131,52
117,83,41,52
118,84,217,52
119,85,64,52
120,85,64,52
121,85,64,52
122,86,64,52
123,86,64,52
124,87,215,52
125,88,215,52
126,89,41,52
127,90,172,52
128,91,101,52
129,92,101,52
130,93,70,52
131,93,70,52
132,94,41,52
133,95,82,52
